月の出,月の入,月齢
14:12, 0:42, 10.6
14:39, 1:49, 11.6
15:06, 2:58, 12.6
15:37, 4:10, 13.6
16:12, 5:26, 14.6
16:54, 6:44, 15.6
17:45, 8:04, 16.6
18:46, 9:19, 17.6
19:54,10:24, 18.6
21:06,11:17, 19.6
22:16,12:00, 20.6
23:22,12:34, 21.6
--:--,13:03, 22.6
 0:25,13:28, 23.6
 1:25,13:51, 24.6
 2:23,14:14, 25.6
 3:21,14:37, 26.6
 4:19,15:03, 27.6
 5:18,15:31, 28.6
 6:18,16:04, 29.6
 7:18,16:44,  0.8
 8:15,17:30,  1.8
 9:09,18:22,  2.8
 9:56,19:21,  3.8
10:37,20:22,  4.8
11:13,21:26,  5.8
11:44,22:29,  6.8
12:12,23:34,  7.8
12:38,--:--,  8.8
13:04, 0:39,  9.8
