月の出,月の入,月齢
 7:11,21:52,  2.7
 7:54,23:07,  3.7
 8:45,--:--,  4.7
 9:44, 0:16,  5.7
10:48, 1:15,  6.7
11:54, 2:04,  7.7
12:59, 2:44,  8.7
14:02, 3:16,  9.7
15:02, 3:44, 10.7
15:59, 4:08, 11.7
16:56, 4:31, 12.7
17:52, 4:54, 13.7
18:49, 5:17, 14.7
19:48, 5:41, 15.7
20:47, 6:09, 16.7
21:47, 6:42, 17.7
22:46, 7:20, 18.7
23:42, 8:06, 19.7
--:--, 8:59, 20.7
 0:33, 9:59, 21.7
 1:17,11:04, 22.7
 1:56,12:11, 23.7
 2:29,13:19, 24.7
 3:00,14:29, 25.7
 3:29,15:39, 26.7
 3:57,16:51, 27.7
 4:28,18:06, 28.7
 5:03,19:24,  0.3
 5:43,20:42,  1.3
 6:32,21:57,  2.3
