月の出,月の入,月齢
 6:42,21:40,  2.7
 7:22,22:57,  3.7
 8:12,--:--,  4.7
 9:10, 0:07,  5.7
10:15, 1:06,  6.7
11:22, 1:54,  7.7
12:30, 2:31,  8.7
13:35, 3:02,  9.7
14:37, 3:28, 10.7
15:37, 3:50, 11.7
16:35, 4:11, 12.7
17:34, 4:31, 13.7
18:33, 4:52, 14.7
19:34, 5:15, 15.7
20:35, 5:41, 16.7
21:37, 6:11, 17.7
22:37, 6:48, 18.7
23:34, 7:32, 19.7
--:--, 8:25, 20.7
 0:24, 9:26, 21.7
 1:07,10:32, 22.7
 1:43,11:41, 23.7
 2:15,12:52, 24.7
 2:43,14:04, 25.7
 3:09,15:17, 26.7
 3:35,16:32, 27.7
 4:03,17:50, 28.7
 4:35,19:11,  0.3
 5:13,20:32,  1.3
 5:59,21:48,  2.3
