月の出,月の入,月齢
14:13, 2:24, 10.8
14:46, 3:33, 11.8
15:26, 4:47, 12.8
16:14, 6:04, 13.8
17:12, 7:21, 14.8
18:19, 8:32, 15.8
19:31, 9:34, 16.8
20:43,10:24, 17.8
21:52,11:04, 18.8
22:57,11:38, 19.8
23:57,12:06, 20.8
--:--,12:32, 21.8
 0:55,12:57, 22.8
 1:51,13:22, 23.8
 2:48,13:48, 24.8
 3:45,14:17, 25.8
 4:43,14:50, 26.8
 5:41,15:29, 27.8
 6:39,16:14, 28.8
 7:34,17:05,  0.1
 8:24,18:02,  1.1
 9:08,19:03,  2.1
 9:46,20:04,  3.1
10:19,21:06,  4.1
10:49,22:08,  5.1
11:17,23:09,  6.1
11:44,--:--,  7.1
12:12, 0:12,  8.1
12:42, 1:17,  9.1
13:18, 2:26, 10.1
14:00, 3:38, 11.1
