月の出,月の入,月齢
10:18,22:51,  5.7
11:17,23:13,  6.7
12:15,23:36,  7.7
13:13,--:--,  8.7
14:12, 0:00,  9.7
15:13, 0:28, 10.7
16:14, 1:00, 11.7
17:14, 1:38, 12.7
18:10, 2:24, 13.7
19:01, 3:19, 14.7
19:44, 4:20, 15.7
20:22, 5:26, 16.7
20:54, 6:34, 17.7
21:22, 7:42, 18.7
21:48, 8:49, 19.7
22:14, 9:56, 20.7
22:41,11:04, 21.7
23:11,12:14, 22.7
23:46,13:26, 23.7
--:--,14:40, 24.7
 0:29,15:54, 25.7
 1:21,17:02, 26.7
 2:23,18:01, 27.7
 3:32,18:50, 28.7
 4:44,19:29,  0.3
 5:54,20:01,  1.3
 7:01,20:28,  2.3
 8:04,20:53,  3.3
 9:05,21:15,  4.3
10:03,21:38,  5.3
11:02,22:02,  6.3
