月の出,月の入,月齢
10:14,22:47,  5.7
11:13,23:10,  6.7
12:10,23:33,  7.7
13:08,23:57,  8.7
14:06,--:--,  9.7
15:06, 0:25, 10.7
16:07, 0:58, 11.7
17:06, 1:37, 12.7
18:03, 2:23, 13.7
18:54, 3:17, 14.7
19:38, 4:19, 15.7
20:15, 5:24, 16.7
20:48, 6:32, 17.7
21:17, 7:39, 18.7
21:43, 8:45, 19.7
22:10, 9:52, 20.7
22:37,10:59, 21.7
23:08,12:08, 22.7
23:44,13:20, 23.7
--:--,14:34, 24.7
 0:27,15:47, 25.7
 1:19,16:55, 26.7
 2:21,17:54, 27.7
 3:30,18:43, 28.7
 4:41,19:23,  0.3
 5:51,19:56,  1.3
 6:57,20:23,  2.3
 8:00,20:48,  3.3
 9:00,21:11,  4.3
 9:59,21:34,  5.3
10:57,21:58,  6.3
