月の出,月の入,月齢
14:13,23:54,  9.3
14:52,--:--, 10.3
15:26, 1:00, 11.3
15:56, 2:07, 12.3
16:25, 3:15, 13.3
16:53, 4:25, 14.3
17:23, 5:36, 15.3
17:55, 6:49, 16.3
18:33, 8:05, 17.3
19:18, 9:22, 18.3
20:13,10:37, 19.3
21:15,11:46, 20.3
22:22,12:44, 21.3
23:31,13:32, 22.3
--:--,14:10, 23.3
 0:38,14:42, 24.3
 1:42,15:10, 25.3
 2:43,15:34, 26.3
 3:42,15:57, 27.3
 4:40,16:21, 28.3
 5:37,16:45, 29.3
 6:36,17:12,  0.6
 7:35,17:42,  1.6
 8:35,18:17,  2.6
 9:34,18:58,  3.6
10:30,19:47,  4.6
11:22,20:41,  5.6
12:08,21:41,  6.6
12:48,22:44,  7.6
13:23,23:49,  8.6
13:54,--:--,  9.6
