月の出,月の入,月齢
 8:41,20:30,  2.6
 9:10,21:39,  3.6
 9:38,22:48,  4.6
10:09,23:58,  5.6
10:42,--:--,  6.6
11:22, 1:09,  7.6
12:08, 2:20,  8.6
13:03, 3:28,  9.6
14:04, 4:29, 10.6
15:09, 5:21, 11.6
16:15, 6:05, 12.6
17:20, 6:41, 13.6
18:21, 7:11, 14.6
19:20, 7:38, 15.6
20:17, 8:02, 16.6
21:13, 8:25, 17.6
22:10, 8:48, 18.6
23:07, 9:13, 19.6
--:--, 9:40, 20.6
 0:06,10:12, 21.6
 1:06,10:49, 22.6
 2:06,11:34, 23.6
 3:05,12:27, 24.6
 3:59,13:29, 25.6
 4:48,14:36, 26.6
 5:30,15:47, 27.6
 6:06,16:59, 28.6
 6:38,18:10,  0.1
