月の出,月の入,月齢
 7:23,19:36,  1.1
 7:53,20:46,  2.1
 8:24,21:58,  3.1
 8:58,23:10,  4.1
 9:37,--:--,  5.1
10:23, 0:23,  6.1
11:16, 1:32,  7.1
12:15, 2:36,  8.1
13:19, 3:30,  9.1
14:24, 4:16, 10.1
15:27, 4:54, 11.1
16:28, 5:26, 12.1
17:27, 5:54, 13.1
18:23, 6:19, 14.1
19:19, 6:43, 15.1
20:14, 7:07, 16.1
21:11, 7:31, 17.1
22:08, 7:58, 18.1
23:07, 8:28, 19.1
--:--, 9:04, 20.1
 0:07, 9:45, 21.1
 1:05,10:34, 22.1
 2:00,11:31, 23.1
 2:50,12:34, 24.1
 3:34,13:41, 25.1
 4:12,14:51, 26.1
 4:47,16:00, 27.1
 5:18,17:11, 28.1
 5:49,18:22, 29.1
 6:20,19:35,  0.7
 6:54,20:49,  1.7
