月の出,月の入,月齢
14:17,23:58,  9.3
14:56,--:--, 10.3
15:30, 1:04, 11.3
16:00, 2:12, 12.3
16:29, 3:20, 13.3
16:57, 4:29, 14.3
17:27, 5:40, 15.3
18:00, 6:53, 16.3
18:38, 8:09, 17.3
19:23, 9:26, 18.3
20:18,10:41, 19.3
21:20,11:50, 20.3
22:27,12:48, 21.3
23:36,13:36, 22.3
--:--,14:14, 23.3
 0:43,14:46, 24.3
 1:47,15:14, 25.3
 2:47,15:38, 26.3
 3:46,16:02, 27.3
 4:44,16:25, 28.3
 5:42,16:49, 29.3
 6:40,17:16,  0.6
 7:39,17:47,  1.6
 8:39,18:22,  2.6
 9:37,19:03,  3.6
10:34,19:52,  4.6
11:26,20:46,  5.6
12:12,21:46,  6.6
12:52,22:49,  7.6
13:27,23:54,  8.6
13:58,--:--,  9.6
