月の出,月の入,月齢
13:57,23:17,  8.9
14:52,--:--,  9.9
15:41, 0:12, 10.9
16:24, 1:14, 11.9
17:02, 2:20, 12.9
17:34, 3:28, 13.9
18:04, 4:36, 14.9
18:33, 5:45, 15.9
19:01, 6:54, 16.9
19:32, 8:04, 17.9
20:06, 9:16, 18.9
20:45,10:30, 19.9
21:32,11:44, 20.9
22:28,12:55, 21.9
23:31,13:58, 22.9
--:--,14:52, 23.9
 0:38,15:37, 24.9
 1:46,16:13, 25.9
 2:52,16:44, 26.9
 3:55,17:11, 27.9
 4:56,17:35, 28.9
 5:55,17:59,  0.3
 6:53,18:23,  1.3
 7:51,18:48,  2.3
 8:49,19:16,  3.3
 9:49,19:48,  4.3
10:48,20:25,  5.3
11:46,21:09,  6.3
12:42,22:01,  7.3
13:32,22:58,  8.3
