月の出,月の入,月齢
 9:41,23:46,  5.0
10:45,--:--,  6.0
11:46, 0:14,  7.0
12:43, 0:39,  8.0
13:40, 1:02,  9.0
14:36, 1:25, 10.0
15:33, 1:49, 11.0
16:31, 2:15, 12.0
17:31, 2:45, 13.0
18:31, 3:20, 14.0
19:30, 4:02, 15.0
20:24, 4:51, 16.0
21:12, 5:47, 17.0
21:54, 6:49, 18.0
22:30, 7:54, 19.0
23:01, 9:00, 20.0
23:30,10:05, 21.0
23:57,11:11, 22.0
--:--,12:17, 23.0
 0:24,13:24, 24.0
 0:54,14:35, 25.0
 1:28,15:49, 26.0
 2:07,17:05, 27.0
 2:56,18:18, 28.0
 3:54,19:25, 29.0
 5:01,20:21,  0.7
 6:12,21:06,  1.7
 7:22,21:43,  2.7
 8:30,22:14,  3.7
 9:33,22:40,  4.7
