月の出,月の入,月齢
 8:23,20:09,  2.6
 8:50,21:20,  3.6
 9:17,22:31,  4.6
 9:46,23:42,  5.6
10:18,--:--,  6.6
10:56, 0:55,  7.6
11:41, 2:08,  8.6
12:34, 3:16,  9.6
13:36, 4:18, 10.6
14:42, 5:09, 11.6
15:50, 5:52, 12.6
16:55, 6:27, 13.6
17:59, 6:56, 14.6
18:59, 7:21, 15.6
19:58, 7:43, 16.6
20:55, 8:05, 17.6
21:53, 8:27, 18.6
22:52, 8:50, 19.6
23:52, 9:16, 20.6
--:--, 9:46, 21.6
 0:54,10:22, 22.6
 1:55,11:06, 23.6
 2:54,11:59, 24.6
 3:48,13:01, 25.6
 4:36,14:09, 26.6
 5:16,15:22, 27.6
 5:51,16:35, 28.6
 6:22,17:48,  0.1
