月の出,月の入,月齢
 7:58,23:10,  3.3
 9:03,--:--,  4.3
10:10, 0:06,  5.3
11:16, 0:51,  6.3
12:18, 1:29,  7.3
13:17, 2:00,  8.3
14:14, 2:28,  9.3
15:08, 2:53, 10.3
16:03, 3:17, 11.3
16:57, 3:42, 12.3
17:53, 4:08, 13.3
18:51, 4:37, 14.3
19:49, 5:09, 15.3
20:48, 5:48, 16.3
21:44, 6:32, 17.3
22:37, 7:24, 18.3
23:23, 8:21, 19.3
--:--, 9:22, 20.3
 0:05,10:26, 21.3
 0:41,11:30, 22.3
 1:13,12:35, 23.3
 1:43,13:40, 24.3
 2:13,14:46, 25.3
 2:44,15:55, 26.3
 3:18,17:08, 27.3
 3:58,18:23, 28.3
 4:44,19:39, 29.3
 5:39,20:50,  1.0
 6:43,21:52,  2.0
 7:51,22:43,  3.0
 9:00,23:25,  4.0
