月の出,月の入,月齢
 7:17,23:03,  3.3
 8:22,23:57,  4.3
 9:31,--:--,  5.3
10:39, 0:41,  6.3
11:45, 1:15,  7.3
12:47, 1:44,  8.3
13:47, 2:08,  9.3
14:45, 2:31, 10.3
15:42, 2:52, 11.3
16:39, 3:14, 12.3
17:38, 3:37, 13.3
18:38, 4:03, 14.3
19:39, 4:33, 15.3
20:40, 5:09, 16.3
21:37, 5:52, 17.3
22:29, 6:42, 18.3
23:15, 7:40, 19.3
23:54, 8:44, 20.3
--:--, 9:50, 21.3
 0:27,10:57, 22.3
 0:56,12:05, 23.3
 1:23,13:14, 24.3
 1:49,14:24, 25.3
 2:17,15:37, 26.3
 2:47,16:53, 27.3
 3:23,18:12, 28.3
 4:06,19:30, 29.3
 4:59,20:42,  1.0
 6:02,21:44,  2.0
 7:11,22:33,  3.0
 8:22,23:13,  4.0
