月の出,月の入,月齢
13:28,23:54,  9.3
14:10,--:--, 10.3
14:49, 0:56, 11.3
15:25, 1:58, 12.3
15:59, 3:01, 13.3
16:33, 4:04, 14.3
17:08, 5:09, 15.3
17:46, 6:17, 16.3
18:30, 7:27, 17.3
19:20, 8:39, 18.3
20:16, 9:50, 19.3
21:19,10:58, 20.3
22:25,11:57, 21.3
23:30,12:48, 22.3
--:--,13:31, 23.3
 0:32,14:08, 24.3
 1:31,14:40, 25.3
 2:27,15:09, 26.3
 3:21,15:37, 27.3
 4:14,16:05, 28.3
 5:07,16:34, 29.3
 6:00,17:05,  0.6
 6:55,17:40,  1.6
 7:51,18:18,  2.6
 8:47,19:02,  3.6
 9:42,19:51,  4.6
10:34,20:45,  5.6
11:22,21:43,  6.6
12:05,22:42,  7.6
12:44,23:42,  8.6
13:20,--:--,  9.6
