月の出,月の入,月齢
10:51,23:22,  5.7
11:48,23:45,  6.7
12:45,--:--,  7.7
13:41, 0:09,  8.7
14:39, 0:35,  9.7
15:38, 1:04, 10.7
16:38, 1:37, 11.7
17:37, 2:17, 12.7
18:34, 3:04, 13.7
19:24, 3:59, 14.7
20:09, 5:00, 15.7
20:47, 6:05, 16.7
21:21, 7:11, 17.7
21:50, 8:17, 18.7
22:18, 9:23, 19.7
22:46,10:28, 20.7
23:14,11:34, 21.7
23:46,12:42, 22.7
--:--,13:53, 23.7
 0:23,15:06, 24.7
 1:07,16:18, 25.7
 2:00,17:26, 26.7
 3:03,18:25, 27.7
 4:11,19:15, 28.7
 5:22,19:55,  0.3
 6:30,20:29,  1.3
 7:36,20:57,  2.3
 8:37,21:23,  3.3
 9:36,21:47,  4.3
10:34,22:11,  5.3
11:31,22:36,  6.3
