月の出,月の入,月齢
 6:44,21:42,  2.7
 7:25,22:59,  3.7
 8:14,--:--,  4.7
 9:12, 0:09,  5.7
10:17, 1:08,  6.7
11:25, 1:56,  7.7
12:32, 2:33,  8.7
13:37, 3:04,  9.7
14:39, 3:30, 10.7
15:39, 3:52, 11.7
16:38, 4:13, 12.7
17:36, 4:33, 13.7
18:35, 4:54, 14.7
19:36, 5:17, 15.7
20:37, 5:43, 16.7
21:39, 6:13, 17.7
22:40, 6:50, 18.7
23:36, 7:34, 19.7
--:--, 8:27, 20.7
 0:26, 9:28, 21.7
 1:09,10:34, 22.7
 1:45,11:44, 23.7
 2:17,12:55, 24.7
 2:45,14:06, 25.7
 3:11,15:19, 26.7
 3:37,16:34, 27.7
 4:05,17:52, 28.7
 4:37,19:13,  0.3
 5:15,20:34,  1.3
 6:02,21:50,  2.3
