月の出,月の入,月齢
 9:36,23:44,  5.0
10:40,--:--,  6.0
11:41, 0:11,  7.0
12:39, 0:36,  8.0
13:36, 0:58,  9.0
14:33, 1:21, 10.0
15:30, 1:44, 11.0
16:29, 2:10, 12.0
17:29, 2:39, 13.0
18:30, 3:14, 14.0
19:28, 3:55, 15.0
20:23, 4:45, 16.0
21:11, 5:41, 17.0
21:52, 6:43, 18.0
22:28, 7:48, 19.0
22:59, 8:55, 20.0
23:27,10:01, 21.0
23:53,11:06, 22.0
--:--,12:13, 23.0
 0:20,13:21, 24.0
 0:49,14:32, 25.0
 1:22,15:47, 26.0
 2:02,17:03, 27.0
 2:50,18:17, 28.0
 3:48,19:23, 29.0
 4:55,20:19,  0.7
 6:06,21:04,  1.7
 7:17,21:41,  2.7
 8:24,22:11,  3.7
 9:28,22:37,  4.7
