月の出,月の入,月齢
13:56, 2:10, 10.8
14:29, 3:20, 11.8
15:07, 4:35, 12.8
15:54, 5:52, 13.8
16:52, 7:10, 14.8
17:59, 8:22, 15.8
19:12, 9:23, 16.8
20:25,10:13, 17.8
21:34,10:52, 18.8
22:40,11:25, 19.8
23:41,11:53, 20.8
--:--,12:18, 21.8
 0:40,12:41, 22.8
 1:37,13:05, 23.8
 2:35,13:31, 24.8
 3:33,13:59, 25.8
 4:31,14:32, 26.8
 5:31,15:10, 27.8
 6:29,15:54, 28.8
 7:24,16:45,  0.1
 8:13,17:43,  1.1
 8:57,18:43,  2.1
 9:34,19:46,  3.1
10:07,20:49,  4.1
10:36,21:51,  5.1
11:03,22:54,  6.1
11:29,23:58,  7.1
11:56,--:--,  8.1
12:26, 1:04,  9.1
13:00, 2:13, 10.1
13:41, 3:27, 11.1
