月の出,月の入,月齢
 8:52,20:42,  2.6
 9:21,21:50,  3.6
 9:49,22:59,  4.6
10:19,--:--,  5.6
10:53, 0:09,  6.6
11:32, 1:21,  7.6
12:19, 2:32,  8.6
13:13, 3:39,  9.6
14:15, 4:41, 10.6
15:20, 5:33, 11.6
16:26, 6:16, 12.6
17:31, 6:52, 13.6
18:32, 7:22, 14.6
19:31, 7:49, 15.6
20:28, 8:13, 16.6
21:25, 8:36, 17.6
22:21, 8:59, 18.6
23:18, 9:24, 19.6
--:--, 9:51, 20.6
 0:17,10:22, 21.6
 1:18,11:00, 22.6
 2:18,11:45, 23.6
 3:17,12:38, 24.6
 4:11,13:40, 25.6
 4:59,14:47, 26.6
 5:41,15:58, 27.6
 6:17,17:10, 28.6
 6:50,18:21,  0.1
