月の出,月の入,月齢
12:15,22:51,  7.3
13:14,23:22,  8.3
14:13,23:59,  9.3
15:13,--:--, 10.3
16:10, 0:43, 11.3
17:03, 1:34, 12.3
17:51, 2:33, 13.3
18:32, 3:37, 14.3
19:08, 4:44, 15.3
19:39, 5:52, 16.3
20:08, 6:59, 17.3
20:36, 8:06, 18.3
21:05, 9:13, 19.3
21:36,10:21, 20.3
22:11,11:31, 21.3
22:52,12:43, 22.3
23:41,13:55, 23.3
--:--,15:03, 24.3
 0:40,16:05, 25.3
 1:45,16:56, 26.3
 2:53,17:39, 27.3
 4:02,18:15, 28.3
 5:08,18:45, 29.3
 6:11,19:11,  0.9
 7:11,19:36,  1.9
 8:09,20:00,  2.9
 9:06,20:25,  3.9
10:04,20:51,  4.9
11:02,21:21,  5.9
12:01,21:55,  6.9
13:01,22:36,  7.9
