月の出,月の入,月齢
14:16, 0:42, 10.6
14:42, 1:51, 11.6
15:08, 3:01, 12.6
15:36, 4:15, 13.6
16:10, 5:32, 14.6
16:50, 6:52, 15.6
17:40, 8:13, 16.6
18:40, 9:29, 17.6
19:49,10:34, 18.6
21:02,11:27, 19.6
22:13,12:08, 20.6
23:21,12:41, 21.6
--:--,13:08, 22.6
 0:25,13:32, 23.6
 1:27,13:54, 24.6
 2:26,14:15, 25.6
 3:26,14:37, 26.6
 4:25,15:01, 27.6
 5:26,15:28, 28.6
 6:27,16:00, 29.6
 7:27,16:39,  0.8
 8:26,17:24,  1.8
 9:19,18:17,  2.8
10:06,19:16,  3.8
10:46,20:19,  4.8
11:21,21:23,  5.8
11:50,22:29,  6.8
12:17,23:34,  7.8
12:41,--:--,  8.8
13:06, 0:41,  9.8
