月の出,月の入,月齢
 8:58,23:40,  5.0
10:08,--:--,  6.0
11:15, 0:02,  7.0
12:19, 0:21,  8.0
13:21, 0:39,  9.0
14:23, 0:56, 10.0
15:26, 1:14, 11.0
16:30, 1:34, 12.0
17:36, 1:59, 13.0
18:41, 2:28, 14.0
19:42, 3:06, 15.0
20:36, 3:53, 16.0
21:22, 4:50, 17.0
21:59, 5:55, 18.0
22:29, 7:05, 19.0
22:54, 8:18, 20.0
23:16, 9:30, 21.0
23:36,10:42, 22.0
23:57,11:55, 23.0
--:--,13:10, 24.0
 0:20,14:28, 25.0
 0:46,15:49, 26.0
 1:19,17:11, 27.0
 2:02,18:29, 28.0
 2:57,19:36, 29.0
 4:04,20:29,  0.7
 5:19,21:09,  1.7
 6:36,21:40,  2.7
 7:50,22:04,  3.7
 8:59,22:24,  4.7
