月の出,月の入,月齢
14:03,23:40,  9.3
14:41,--:--, 10.3
15:15, 0:47, 11.3
15:45, 1:54, 12.3
16:14, 3:03, 13.3
16:41, 4:13, 14.3
17:11, 5:24, 15.3
17:43, 6:38, 16.3
18:20, 7:54, 17.3
19:05, 9:12, 18.3
19:59,10:27, 19.3
21:01,11:36, 20.3
22:09,12:34, 21.3
23:18,13:22, 22.3
--:--,14:00, 23.3
 0:25,14:32, 24.3
 1:29,14:59, 25.3
 2:31,15:23, 26.3
 3:30,15:46, 27.3
 4:28,16:09, 28.3
 5:26,16:33, 29.3
 6:25,16:59,  0.6
 7:24,17:29,  1.6
 8:24,18:04,  2.6
 9:24,18:45,  3.6
10:20,19:33,  4.6
11:12,20:28,  5.6
11:58,21:28,  6.6
12:38,22:31,  7.6
13:12,23:36,  8.6
13:43,--:--,  9.6
