月の出,月の入,月齢
14:05,23:31,  8.9
15:00,--:--,  9.9
15:49, 0:26, 10.9
16:33, 1:28, 11.9
17:11, 2:33, 12.9
17:44, 3:41, 13.9
18:15, 4:49, 14.9
18:44, 5:57, 15.9
19:13, 7:05, 16.9
19:44, 8:15, 17.9
20:18, 9:26, 18.9
20:59,10:39, 19.9
21:46,11:53, 20.9
22:42,13:03, 21.9
23:45,14:07, 22.9
--:--,15:01, 23.9
 0:52,15:46, 24.9
 1:59,16:23, 25.9
 3:05,16:54, 26.9
 4:08,17:21, 27.9
 5:08,17:46, 28.9
 6:06,18:10,  0.3
 7:03,18:35,  1.3
 8:01,19:01,  2.3
 8:59,19:29,  3.3
 9:58,20:02,  4.3
10:57,20:39,  5.3
11:55,21:24,  6.3
12:50,22:15,  7.3
13:41,23:13,  8.3
