月の出,月の入,月齢
 7:18,19:30,  1.1
 7:46,20:42,  2.1
 8:16,21:55,  3.1
 8:48,23:10,  4.1
 9:26,--:--,  5.1
10:10, 0:23,  6.1
11:02, 1:34,  7.1
12:01, 2:38,  8.1
13:06, 3:32,  9.1
14:12, 4:17, 10.1
15:16, 4:54, 11.1
16:19, 5:24, 12.1
17:19, 5:51, 13.1
18:17, 6:15, 14.1
19:14, 6:37, 15.1
20:11, 6:59, 16.1
21:09, 7:23, 17.1
22:08, 7:48, 18.1
23:08, 8:17, 19.1
--:--, 8:51, 20.1
 0:08, 9:32, 21.1
 1:07,10:20, 22.1
 2:02,11:17, 23.1
 2:51,12:21, 24.1
 3:34,13:29, 25.1
 4:11,14:40, 26.1
 4:44,15:52, 27.1
 5:14,17:04, 28.1
 5:43,18:17, 29.1
 6:12,19:31,  0.7
 6:44,20:48,  1.7
