月の出,月の入,月齢
14:07,22:48,  9.3
14:41,--:--, 10.3
15:09, 0:00, 11.3
15:33, 1:14, 12.3
15:55, 2:30, 13.3
16:16, 3:46, 14.3
16:39, 5:04, 15.3
17:04, 6:25, 16.3
17:35, 7:49, 17.3
18:14, 9:13, 18.3
19:03,10:34, 19.3
20:04,11:44, 20.3
21:15,12:41, 21.3
22:28,13:24, 22.3
23:42,13:57, 23.3
--:--,14:23, 24.3
 0:52,14:44, 25.3
 1:59,15:03, 26.3
 3:04,15:20, 27.3
 4:08,15:38, 28.3
 5:12,15:57, 29.3
 6:17,16:17,  0.6
 7:22,16:42,  1.6
 8:27,17:12,  2.6
 9:30,17:50,  3.6
10:29,18:36,  4.6
11:20,19:31,  5.6
12:04,20:34,  6.6
12:39,21:42,  7.6
13:09,22:53,  8.6
13:33,--:--,  9.6
