月の出,月の入,月齢
 9:24,23:32,  5.0
10:28,24:00,  6.0
11:29,--:--,  7.0
12:27, 0:24,  8.0
13:24, 0:47,  9.0
14:21, 1:09, 10.0
15:18, 1:32, 11.0
16:17, 1:58, 12.0
17:17, 2:28, 13.0
18:18, 3:02, 14.0
19:17, 3:43, 15.0
20:11, 4:32, 16.0
20:59, 5:29, 17.0
21:40, 6:31, 18.0
22:16, 7:36, 19.0
22:47, 8:42, 20.0
23:15, 9:48, 21.0
23:42,10:54, 22.0
--:--,12:01, 23.0
 0:08,13:09, 24.0
 0:37,14:20, 25.0
 1:10,15:35, 26.0
 1:50,16:51, 27.0
 2:38,18:05, 28.0
 3:36,19:12, 29.0
 4:42,20:08,  0.7
 5:54,20:53,  1.7
 7:04,21:29,  2.7
 8:12,21:59,  3.7
 9:16,22:25,  4.7
