月の出,月の入,月齢
 9:18,23:30,  5.0
10:23,23:57,  6.0
11:25,--:--,  7.0
12:24, 0:21,  8.0
13:21, 0:43,  9.0
14:18, 1:05, 10.0
15:16, 1:28, 11.0
16:16, 1:53, 12.0
17:17, 2:22, 13.0
18:18, 2:56, 14.0
19:17, 3:37, 15.0
20:11, 4:26, 16.0
20:59, 5:22, 17.0
21:40, 6:24, 18.0
22:15, 7:30, 19.0
22:45, 8:37, 20.0
23:12, 9:44, 21.0
23:38,10:50, 22.0
--:--,11:57, 23.0
 0:05,13:06, 24.0
 0:33,14:18, 25.0
 1:05,15:34, 26.0
 1:44,16:50, 27.0
 2:31,18:05, 28.0
 3:29,19:11, 29.0
 4:36,20:07,  0.7
 5:47,20:52,  1.7
 6:59,21:28,  2.7
 8:07,21:57,  3.7
 9:12,22:22,  4.7
