月の出,月の入,月齢
10:30,23:01,  5.7
11:27,23:25,  6.7
12:24,23:48,  7.7
13:21,--:--,  8.7
14:19, 0:14,  9.7
15:19, 0:42, 10.7
16:19, 1:15, 11.7
17:18, 1:54, 12.7
18:15, 2:41, 13.7
19:05, 3:36, 14.7
19:50, 4:37, 15.7
20:28, 5:42, 16.7
21:01, 6:49, 17.7
21:30, 7:55, 18.7
21:58, 9:01, 19.7
22:25,10:07, 20.7
22:53,11:13, 21.7
23:24,12:22, 22.7
--:--,13:33, 23.7
 0:01,14:46, 24.7
 0:45,15:59, 25.7
 1:37,17:07, 26.7
 2:40,18:06, 27.7
 3:48,18:56, 28.7
 4:59,19:36,  0.3
 6:08,20:09,  1.3
 7:14,20:37,  2.3
 8:16,21:02,  3.3
 9:15,21:26,  4.3
10:13,21:50,  5.3
11:10,22:14,  6.3
