月の出,月の入,月齢
 7:58,23:16,  3.3
 9:03,--:--,  4.3
10:10, 0:12,  5.3
11:16, 0:57,  6.3
12:19, 1:33,  7.3
13:19, 2:04,  8.3
14:16, 2:31,  9.3
15:11, 2:56, 10.3
16:06, 3:20, 11.3
17:01, 3:44, 12.3
17:58, 4:09, 13.3
18:56, 4:38, 14.3
19:55, 5:10, 15.3
20:54, 5:48, 16.3
21:50, 6:32, 17.3
22:43, 7:23, 18.3
23:29, 8:21, 19.3
--:--, 9:23, 20.3
 0:10,10:27, 21.3
 0:45,11:32, 22.3
 1:17,12:37, 23.3
 1:47,13:42, 24.3
 2:16,14:49, 25.3
 2:47,15:59, 26.3
 3:20,17:12, 27.3
 3:58,18:28, 28.3
 4:44,19:44, 29.3
 5:39,20:56,  1.0
 6:43,21:58,  2.0
 7:51,22:49,  3.0
 9:00,23:30,  4.0
