月の出,月の入,月齢
 8:11,17:49,  1.2
 8:52,18:59,  2.2
 9:28,20:09,  3.2
 9:58,21:18,  4.2
10:26,22:26,  5.2
10:53,23:34,  6.2
11:20,--:--,  7.2
11:50, 0:43,  8.2
12:24, 1:55,  9.2
13:05, 3:07, 10.2
13:54, 4:19, 11.2
14:52, 5:27, 12.2
15:57, 6:27, 13.2
17:05, 7:17, 14.2
18:13, 7:58, 15.2
19:17, 8:31, 16.2
20:19, 8:59, 17.2
21:17, 9:23, 18.2
22:14, 9:46, 19.2
23:11,10:08, 20.2
--:--,10:31, 21.2
 0:08,10:56, 22.2
 1:07,11:24, 23.2
 2:08,11:57, 24.2
 3:10,12:38, 25.2
 4:12,13:27, 26.2
 5:10,14:25, 27.2
 6:02,15:31, 28.2
 6:47,16:42, 29.2
 7:26,17:54,  0.6
 7:59,19:05,  1.6
