月の出,月の入,月齢
11:59,22:11,  7.3
13:01,22:39,  8.3
14:04,23:13,  9.3
15:06,23:54, 10.3
16:05,--:--, 11.3
16:58, 0:45, 12.3
17:43, 1:44, 13.3
18:21, 2:51, 14.3
18:53, 4:02, 15.3
19:20, 5:13, 16.3
19:45, 6:25, 17.3
20:09, 7:36, 18.3
20:33, 8:48, 19.3
20:59,10:01, 20.3
21:30,11:16, 21.3
22:07,12:32, 22.3
22:54,13:47, 23.3
23:50,14:57, 24.3
--:--,15:58, 25.3
 0:56,16:48, 26.3
 2:08,17:28, 27.3
 3:20,17:59, 28.3
 4:30,18:25, 29.3
 5:37,18:48,  0.9
 6:41,19:09,  1.9
 7:44,19:29,  2.9
 8:45,19:50,  3.9
 9:46,20:13,  4.9
10:49,20:39,  5.9
11:51,21:10,  6.9
12:53,21:48,  7.9
