月の出,月の入,月齢
 8:41,20:30,  2.6
 9:09,21:39,  3.6
 9:38,22:48,  4.6
10:08,23:59,  5.6
10:41,--:--,  6.6
11:20, 1:10,  7.6
12:07, 2:21,  8.6
13:01, 3:29,  9.6
14:02, 4:30, 10.6
15:08, 5:23, 11.6
16:14, 6:06, 12.6
17:19, 6:42, 13.6
18:21, 7:12, 14.6
19:20, 7:38, 15.6
20:17, 8:02, 16.6
21:13, 8:25, 17.6
22:10, 8:48, 18.6
23:08, 9:12, 19.6
--:--, 9:39, 20.6
 0:07,10:10, 21.6
 1:07,10:48, 22.6
 2:08,11:32, 23.6
 3:07,12:26, 24.6
 4:01,13:27, 25.6
 4:49,14:35, 26.6
 5:31,15:46, 27.6
 6:07,16:58, 28.6
 6:39,18:10,  0.1
