月の出,月の入,月齢
 7:05,19:17,  1.1
 7:33,20:29,  2.1
 8:02,21:43,  3.1
 8:34,22:58,  4.1
 9:11,--:--,  5.1
 9:55, 0:12,  6.1
10:47, 1:23,  7.1
11:46, 2:27,  8.1
12:50, 3:21,  9.1
13:57, 4:06, 10.1
15:02, 4:42, 11.1
16:05, 5:13, 12.1
17:05, 5:39, 13.1
18:04, 6:02, 14.1
19:01, 6:24, 15.1
19:58, 6:46, 16.1
20:56, 7:09, 17.1
21:56, 7:34, 18.1
22:56, 8:02, 19.1
23:57, 8:36, 20.1
--:--, 9:16, 21.1
 0:56,10:05, 22.1
 1:51,11:02, 23.1
 2:40,12:06, 24.1
 3:23,13:14, 25.1
 4:00,14:26, 26.1
 4:32,15:38, 27.1
 5:02,16:50, 28.1
 5:30,18:04, 29.1
 5:59,19:19,  0.7
 6:30,20:36,  1.7
