月の出,月の入,月齢
10:07,--:--,  5.0
11:10, 0:07,  6.0
12:09, 0:35,  7.0
13:06, 1:01,  8.0
14:02, 1:24,  9.0
14:57, 1:48, 10.0
15:53, 2:13, 11.0
16:51, 2:39, 12.0
17:51, 3:10, 13.0
18:50, 3:46, 14.0
19:48, 4:28, 15.0
20:43, 5:18, 16.0
21:31, 6:14, 17.0
22:13, 7:15, 18.0
22:50, 8:20, 19.0
23:22, 9:25, 20.0
23:51,10:30, 21.0
--:--,11:34, 22.0
 0:19,12:39, 23.0
 0:47,13:46, 24.0
 1:18,14:56, 25.0
 1:52,16:09, 26.0
 2:33,17:24, 27.0
 3:22,18:37, 28.0
 4:21,19:44, 29.0
 5:28,20:40,  0.7
 6:38,21:26,  1.7
 7:48,22:03,  2.7
 8:54,22:34,  3.7
 9:57,23:01,  4.7
