月の出,月の入,月齢
 9:15,23:33,  5.0
10:21,23:59,  6.0
11:24,--:--,  7.0
12:23, 0:22,  8.0
13:22, 0:43,  9.0
14:20, 1:04, 10.0
15:19, 1:26, 11.0
16:19, 1:50, 12.0
17:21, 2:18, 13.0
18:23, 2:51, 14.0
19:22, 3:32, 15.0
20:16, 4:20, 16.0
21:04, 5:17, 17.0
21:44, 6:20, 18.0
22:18, 7:26, 19.0
22:47, 8:34, 20.0
23:14, 9:42, 21.0
23:39,10:49, 22.0
--:--,11:58, 23.0
 0:04,13:08, 24.0
 0:31,14:21, 25.0
 1:02,15:37, 26.0
 1:40,16:55, 27.0
 2:26,18:10, 28.0
 3:24,19:17, 29.0
 4:30,20:12,  0.7
 5:43,20:56,  1.7
 6:55,21:31,  2.7
 8:05,21:59,  3.7
 9:10,22:24,  4.7
