月の出,月の入,月齢
14:14, 0:35, 10.6
14:38, 1:45, 11.6
15:02, 2:57, 12.6
15:29, 4:12, 13.6
16:01, 5:31, 14.6
16:40, 6:53, 15.6
17:29, 8:15, 16.6
18:29, 9:32, 17.6
19:38,10:37, 18.6
20:51,11:29, 19.6
22:04,12:09, 20.6
23:13,12:40, 21.6
--:--,13:06, 22.6
 0:19,13:29, 23.6
 1:22,13:49, 24.6
 2:23,14:09, 25.6
 3:23,14:30, 26.6
 4:24,14:53, 27.6
 5:26,15:19, 28.6
 6:28,15:50, 29.6
 7:30,16:27,  0.8
 8:28,17:12,  1.8
 9:22,18:05,  2.8
10:09,19:04,  3.8
10:48,20:08,  4.8
11:21,21:14,  5.8
11:49,22:21,  6.8
12:15,23:28,  7.8
12:38,--:--,  8.8
13:01, 0:36,  9.8
