月の出,月の入,月齢
 8:03,22:04,  2.7
 8:51,23:14,  3.7
 9:46,--:--,  4.7
10:46, 0:21,  5.7
11:49, 1:21,  6.7
12:52, 2:12,  7.7
13:52, 2:56,  8.7
14:49, 3:33,  9.7
15:44, 4:06, 10.7
16:36, 4:35, 11.7
17:28, 5:03, 12.7
18:19, 5:31, 13.7
19:11, 5:59, 14.7
20:04, 6:28, 15.7
20:59, 7:01, 16.7
21:56, 7:38, 17.7
22:52, 8:20, 18.7
23:47, 9:08, 19.7
--:--,10:01, 20.7
 0:39,10:59, 21.7
 1:26,12:00, 22.7
 2:09,13:03, 23.7
 2:48,14:06, 24.7
 3:24,15:09, 25.7
 3:58,16:13, 26.7
 4:33,17:19, 27.7
 5:10,18:27, 28.7
 5:51,19:39,  0.3
 6:38,20:52,  1.3
 7:31,22:03,  2.3
