月の出,月の入,月齢
 8:37,20:23,  2.6
 9:04,21:33,  3.6
 9:30,22:44,  4.6
 9:59,23:56,  5.6
10:31,--:--,  6.6
11:09, 1:09,  7.6
11:54, 2:21,  8.6
12:48, 3:30,  9.6
13:49, 4:31, 10.6
14:56, 5:23, 11.6
16:03, 6:05, 12.6
17:09, 6:40, 13.6
18:12, 7:09, 14.6
19:12, 7:34, 15.6
20:11, 7:56, 16.6
21:09, 8:18, 17.6
22:06, 8:40, 18.6
23:05, 9:03, 19.6
--:--, 9:29, 20.6
 0:06, 9:59, 21.6
 1:07,10:35, 22.6
 2:08,11:19, 23.6
 3:08,12:12, 24.6
 4:02,13:14, 25.6
 4:49,14:23, 26.6
 5:30,15:35, 27.6
 6:04,16:49, 28.6
 6:35,18:02,  0.1
