月の出,月の入,月齢
 7:40,22:11,  2.7
 8:25,23:24,  3.7
 9:17,--:--,  4.7
10:16, 0:32,  5.7
11:20, 1:32,  6.7
12:25, 2:21,  7.7
13:29, 3:02,  8.7
14:30, 3:36,  9.7
15:29, 4:05, 10.7
16:25, 4:31, 11.7
17:20, 4:55, 12.7
18:15, 5:19, 13.7
19:10, 5:43, 14.7
20:07, 6:09, 15.7
21:06, 6:39, 16.7
22:05, 7:12, 17.7
23:03, 7:52, 18.7
23:59, 8:38, 19.7
--:--, 9:31, 20.7
 0:49,10:31, 21.7
 1:35,11:35, 22.7
 2:14,12:41, 23.7
 2:49,13:47, 24.7
 3:21,14:55, 25.7
 3:52,16:04, 26.7
 4:22,17:14, 27.7
 4:55,18:27, 28.7
 5:31,19:44,  0.3
 6:13,21:00,  1.3
 7:04,22:14,  2.3
