月の出,月の入,月齢
10:22,22:55,  5.7
11:21,23:17,  6.7
12:19,23:39,  7.7
13:17,--:--,  8.7
14:16, 0:03,  9.7
15:17, 0:31, 10.7
16:18, 1:03, 11.7
17:18, 1:41, 12.7
18:15, 2:27, 13.7
19:05, 3:22, 14.7
19:49, 4:23, 15.7
20:26, 5:29, 16.7
20:58, 6:37, 17.7
21:26, 7:45, 18.7
21:52, 8:53, 19.7
22:17,10:00, 20.7
22:44,11:08, 21.7
23:14,12:18, 22.7
23:49,13:30, 23.7
--:--,14:45, 24.7
 0:32,15:59, 25.7
 1:24,17:07, 26.7
 2:26,18:06, 27.7
 3:35,18:55, 28.7
 4:46,19:34,  0.3
 5:57,20:05,  1.3
 7:04,20:32,  2.3
 8:07,20:56,  3.3
 9:08,21:19,  4.3
10:07,21:41,  5.3
11:06,22:05,  6.3
