月の出,月の入,月齢
13:23, 1:45, 10.8
13:50, 3:01, 11.8
14:23, 4:20, 12.8
15:06, 5:43, 13.8
16:00, 7:04, 14.8
17:06, 8:17, 15.8
18:21, 9:17, 16.8
19:39,10:03, 17.8
20:53,10:39, 18.8
22:03,11:07, 19.8
23:09,11:30, 20.8
--:--,11:51, 21.8
 0:13,12:11, 22.8
 1:14,12:31, 23.8
 2:16,12:52, 24.8
 3:18,13:16, 25.8
 4:21,13:45, 26.8
 5:23,14:20, 27.8
 6:24,15:02, 28.8
 7:20,15:53,  0.1
 8:09,16:51,  1.1
 8:50,17:55,  2.1
 9:24,19:01,  3.1
 9:53,20:08,  4.1
10:17,21:16,  5.1
10:40,22:23,  6.1
11:02,23:31,  7.1
11:24,--:--,  8.1
11:49, 0:42,  9.1
12:18, 1:57, 10.1
12:54, 3:15, 11.1
