月の出,月の入,月齢
 7:19,22:52,  3.3
 8:23,23:47,  4.3
 9:31,--:--,  5.3
10:39, 0:31,  6.3
11:43, 1:07,  7.3
12:45, 1:36,  8.3
13:43, 2:02,  9.3
14:40, 2:25, 10.3
15:36, 2:48, 11.3
16:32, 3:11, 12.3
17:30, 3:35, 13.3
18:29, 4:02, 14.3
19:29, 4:33, 15.3
20:29, 5:10, 16.3
21:26, 5:53, 17.3
22:18, 6:44, 18.3
23:04, 7:42, 19.3
23:44, 8:44, 20.3
--:--, 9:50, 21.3
 0:18,10:56, 22.3
 0:49,12:02, 23.3
 1:17,13:09, 24.3
 1:45,14:18, 25.3
 2:14,15:30, 26.3
 2:45,16:44, 27.3
 3:22,18:02, 28.3
 4:06,19:19, 29.3
 5:00,20:31,  1.0
 6:03,21:33,  2.0
 7:12,22:23,  3.0
 8:22,23:04,  4.0
