月の出,月の入,月齢
 7:39,23:08,  3.3
 8:44,--:--,  4.3
 9:51, 0:03,  5.3
10:59, 0:47,  6.3
12:03, 1:23,  7.3
13:03, 1:53,  8.3
14:01, 2:19,  9.3
14:58, 2:43, 10.3
15:53, 3:06, 11.3
16:49, 3:29, 12.3
17:47, 3:53, 13.3
18:45, 4:21, 14.3
19:45, 4:52, 15.3
20:45, 5:29, 16.3
21:42, 6:13, 17.3
22:34, 7:04, 18.3
23:20, 8:02, 19.3
--:--, 9:04, 20.3
 0:00,10:09, 21.3
 0:35,11:15, 22.3
 1:06,12:21, 23.3
 1:34,13:28, 24.3
 2:02,14:36, 25.3
 2:32,15:47, 26.3
 3:04,17:01, 27.3
 3:41,18:19, 28.3
 4:26,19:35, 29.3
 5:20,20:47,  1.0
 6:23,21:49,  2.0
 7:32,22:39,  3.0
 8:42,23:20,  4.0
