月の出,月の入,月齢
10:43,23:13,  5.7
11:40,23:37,  6.7
12:36,--:--,  7.7
13:32, 0:02,  8.7
14:29, 0:28,  9.7
15:28, 0:57, 10.7
16:28, 1:31, 11.7
17:27, 2:11, 12.7
18:23, 2:58, 13.7
19:14, 3:52, 14.7
19:59, 4:53, 15.7
20:37, 5:58, 16.7
21:11, 7:04, 17.7
21:41, 8:09, 18.7
22:10, 9:14, 19.7
22:37,10:19, 20.7
23:06,11:25, 21.7
23:39,12:33, 22.7
--:--,13:43, 23.7
 0:16,14:55, 24.7
 1:00,16:07, 25.7
 1:54,17:15, 26.7
 2:56,18:15, 27.7
 4:05,19:05, 28.7
 5:15,19:45,  0.3
 6:23,20:19,  1.3
 7:28,20:48,  2.3
 8:29,21:14,  3.3
 9:28,21:39,  4.3
10:25,22:03,  5.3
11:21,22:28,  6.3
