月の出,月の入,月齢
 7:13,19:25,  1.1
 7:41,20:37,  2.1
 8:11,21:51,  3.1
 8:43,23:05,  4.1
 9:21,--:--,  5.1
10:05, 0:19,  6.1
10:57, 1:29,  7.1
11:56, 2:33,  8.1
13:01, 3:27,  9.1
14:07, 4:12, 10.1
15:11, 4:49, 11.1
16:14, 5:20, 12.1
17:14, 5:46, 13.1
18:12, 6:10, 14.1
19:09, 6:32, 15.1
20:06, 6:54, 16.1
21:04, 7:18, 17.1
22:03, 7:43, 18.1
23:03, 8:12, 19.1
--:--, 8:46, 20.1
 0:03, 9:27, 21.1
 1:02,10:15, 22.1
 1:57,11:12, 23.1
 2:47,12:16, 24.1
 3:30,13:24, 25.1
 4:07,14:35, 26.1
 4:39,15:47, 27.1
 5:09,16:59, 28.1
 5:38,18:12, 29.1
 6:08,19:26,  0.7
 6:39,20:43,  1.7
