月の出,月の入,月齢
14:45, 1:26, 10.6
15:15, 2:30, 11.6
15:46, 3:36, 12.6
16:19, 4:44, 13.6
16:58, 5:57, 14.6
17:43, 7:12, 15.6
18:36, 8:29, 16.6
19:39, 9:42, 17.6
20:47,10:47, 18.6
21:56,11:42, 19.6
23:03,12:27, 20.6
--:--,13:04, 21.6
 0:07,13:35, 22.6
 1:07,14:02, 23.6
 2:04,14:28, 24.6
 3:00,14:53, 25.6
 3:55,15:19, 26.6
 4:50,15:47, 27.6
 5:47,16:18, 28.6
 6:44,16:54, 29.6
 7:42,17:35,  0.8
 8:38,18:22,  1.8
 9:32,19:15,  2.8
10:20,20:12,  3.8
11:02,21:12,  4.8
11:40,22:13,  5.8
12:13,23:14,  6.8
12:44,--:--,  7.8
13:13, 0:15,  8.8
13:42, 1:18,  9.8
