月の出,月の入,月齢
23:46,11:56,21.8
--:--,12:23,22.8
0:49,12:48,23.8
1:51,13:14,24.8
2:53,13:42,25.8
3:55,14:12,26.8
4:56,14:47,27.8
5:57,15:28,28.8
6:55,16:14,0.1
7:47,17:07,1.1
8:34,18:03,2.1
9:14,19:02,3.1
9:48,20:02,4.1
10:17,21:01,5.1
10:44,22:00,6.1
11:08,22:59,7.1
11:33,23:59,8.1
11:58,--:--,9.1
12:25,1:02,10.1
12:57,2:09,11.1
13:36,3:20,12.1
14:24,4:34,13.1
15:23,5:48,14.1
16:34,6:57,15.1
17:51,7:56,16.1
19:08,8:44,17.1
20:23,9:23,18.1
21:33,9:56,19.1
22:40,10:24,20.1
23:44,10:51,21.1
--:--,11:17,22.1
