月の出,月の入,月齢
14:23,4:36,12.1
15:24,5:50,13.1
16:35,6:56,14.1
17:49,7:52,15.1
19:03,8:37,16.1
20:13,9:14,17.1
21:18,9:44,18.1
22:20,10:11,19.1
23:20,10:35,20.1
--:--,11:00,21.1
0:18,11:25,22.1
1:17,11:52,23.1
2:16,12:22,24.1
3:16,12:58,25.1
4:14,13:40,26.1
5:11,14:29,27.1
6:02,15:25,28.1
6:48,16:26,29.1
7:28,17:29,0.3
8:02,18:33,1.3
8:32,19:37,2.3
9:00,20:40,3.3
9:26,21:44,4.3
9:52,22:48,5.3
10:20,23:56,6.3
10:51,--:--,7.3
11:28,1:06,8.3
12:13,2:19,9.3
13:07,3:31,10.3
14:12,4:39,11.3
15:24,5:38,12.3
