月の出,月の入,月齢
23:39,11:53,21.8
--:--,12:18,22.8
0:44,12:42,23.8
1:48,13:06,24.8
2:52,13:32,25.8
3:55,14:01,26.8
4:58,14:35,27.8
6:00,15:14,28.8
6:59,16:00,0.1
7:51,16:53,1.1
8:37,17:50,2.1
9:16,18:50,3.1
9:49,19:51,4.1
10:17,20:52,5.1
10:42,21:52,6.1
11:05,22:53,7.1
11:28,23:55,8.1
11:51,--:--,9.1
12:17,0:59,10.1
12:47,2:08,11.1
13:24,3:21,12.1
14:11,4:37,13.1
15:09,5:52,14.1
16:20,7:01,15.1
17:38,7:59,16.1
18:57,8:46,17.1
20:14,9:23,18.1
21:26,9:54,19.1
22:34,10:20,20.1
23:40,10:45,21.1
--:--,11:10,22.1
