月の出,月の入,月齢
--:--,12:32,21.8
0:26,13:01,22.8
1:27,13:28,23.8
2:28,13:55,24.8
3:28,14:24,25.8
4:28,14:56,26.8
5:28,15:33,27.8
6:28,16:15,28.8
7:25,17:02,0.1
8:17,17:54,1.1
9:04,18:50,2.1
9:44,19:48,3.1
10:20,20:46,4.1
10:51,21:44,5.1
11:19,22:41,6.1
11:45,23:39,7.1
12:11,--:--,8.1
12:37,0:37,9.1
13:07,1:38,10.1
13:40,2:43,11.1
14:21,3:53,12.1
15:11,5:06,13.1
16:11,6:19,14.1
17:22,7:27,15.1
18:38,8:27,16.1
19:53,9:16,17.1
21:06,9:57,18.1
22:14,10:31,19.1
23:19,11:02,20.1
--:--,11:30,21.1
0:21,11:58,22.1
