月の出,月の入,月齢
20:15,7:04,17.7
20:39,8:05,18.7
21:04,9:08,19.7
21:31,10:12,20.7
22:02,11:19,21.7
22:39,12:29,22.7
23:24,13:42,23.7
--:--,14:54,24.7
0:20,16:00,25.7
1:27,16:58,26.7
2:41,17:45,27.7
3:57,18:24,28.7
5:12,18:56,0.4
6:23,19:25,1.4
7:31,19:51,2.4
8:36,20:16,3.4
9:40,20:42,4.4
10:43,21:11,5.4
11:46,21:43,6.4
12:47,22:19,7.4
13:47,23:02,8.4
14:42,23:52,9.4
15:32,--:--,10.4
16:15,0:47,11.4
16:52,1:46,12.4
17:25,2:48,13.4
17:53,3:51,14.4
18:19,4:54,15.4
18:44,5:57,16.4
19:09,7:00,17.4
19:35,8:04,18.4
