月の出,月の入,月齢
20:10,7:00,17.7
20:35,8:01,18.7
21:00,9:03,19.7
21:28,10:07,20.7
21:59,11:13,21.7
22:36,12:23,22.7
23:22,13:35,23.7
--:--,14:47,24.7
0:19,15:53,25.7
1:25,16:51,26.7
2:39,17:39,27.7
3:55,18:18,28.7
5:09,18:51,0.4
6:20,19:20,1.4
7:27,19:47,2.4
8:32,20:13,3.4
9:35,20:39,4.4
10:37,21:08,5.4
11:39,21:41,6.4
12:40,22:18,7.4
13:39,23:01,8.4
14:35,23:50,9.4
15:24,--:--,10.4
16:08,0:45,11.4
16:46,1:45,12.4
17:19,2:46,13.4
17:48,3:48,14.4
18:14,4:51,15.4
18:39,5:53,16.4
19:05,6:55,17.4
19:32,7:59,18.4
