月の出,月の入,月齢
20:23,5:18,16.0
20:57,6:18,17.0
21:26,7:19,18.0
21:53,8:20,19.0
22:19,9:20,20.0
22:44,10:21,21.0
23:10,11:23,22.0
23:39,12:28,23.0
--:--,13:36,24.0
0:13,14:49,25.0
0:55,16:03,26.0
1:47,17:15,27.0
2:50,18:20,28.0
4:03,19:15,29.0
5:19,20:00,0.7
6:35,20:36,1.7
7:47,21:07,2.7
8:54,21:34,3.7
9:59,22:00,4.7
11:01,22:26,5.7
12:02,22:53,6.7
13:03,23:23,7.7
14:03,23:57,8.7
15:03,--:--,9.7
16:00,0:36,10.7
16:53,1:21,11.7
17:41,2:13,12.7
18:22,3:10,13.7
18:58,4:10,14.7
19:29,5:11,15.7
19:57,6:13,16.7
