月の出,月の入,月齢
20:27,5:28,16.0
21:02,6:28,17.0
21:32,7:28,18.0
21:59,8:28,19.0
22:25,9:28,20.0
22:51,10:28,21.0
23:18,11:30,22.0
23:48,12:34,23.0
--:--,13:42,24.0
0:23,14:53,25.0
1:05,16:07,26.0
1:57,17:19,27.0
3:01,18:25,28.0
4:13,19:20,29.0
5:29,20:05,0.7
6:44,20:42,1.7
7:55,21:13,2.7
9:02,21:41,3.7
10:06,22:08,4.7
11:07,22:34,5.7
12:08,23:02,6.7
13:08,23:32,7.7
14:08,--:--,8.7
15:07,0:07,9.7
16:04,0:46,10.7
16:57,1:32,11.7
17:45,2:24,12.7
18:27,3:20,13.7
19:03,4:20,14.7
19:35,5:21,15.7
20:03,6:22,16.7
