月の出,月の入,月齢
20:51,10:56,20.0
21:50,12:04,21.0
22:57,13:05,22.0
--:--,13:58,23.0
0:07,14:43,24.0
1:17,15:20,25.0
2:25,15:52,26.0
3:31,16:21,27.0
4:34,16:49,28.0
5:36,17:17,29.0
6:38,17:45,0.5
7:40,18:17,1.5
8:42,18:52,2.5
9:42,19:32,3.5
10:41,20:18,4.5
11:35,21:09,5.5
12:23,22:04,6.5
13:06,23:02,7.5
13:43,--:--,8.5
14:16,0:01,9.5
14:46,1:01,10.5
15:13,2:01,11.5
15:41,3:01,12.5
16:09,4:03,13.5
16:39,5:07,14.5
17:14,6:15,15.5
17:55,7:26,16.5
18:44,8:40,17.5
19:42,9:52,18.5
20:48,10:58,19.5
21:59,11:55,20.5
