月の出,月の入,月齢
20:27,7:18,17.7
20:52,8:19,18.7
21:18,9:21,19.7
21:46,10:24,20.7
22:18,11:30,21.7
22:56,12:39,22.7
23:42,13:51,23.7
--:--,15:02,24.7
0:38,16:09,25.7
1:45,17:07,26.7
2:59,17:55,27.7
4:14,18:34,28.7
5:28,19:08,0.4
6:38,19:37,1.4
7:45,20:04,2.4
8:49,20:30,3.4
9:52,20:58,4.4
10:54,21:27,5.4
11:56,22:00,6.4
12:56,22:37,7.4
13:55,23:20,8.4
14:50,--:--,9.4
15:40,0:10,10.4
16:24,1:05,11.4
17:02,2:04,12.4
17:35,3:05,13.4
18:04,4:07,14.4
18:31,5:09,15.4
18:56,6:11,16.4
19:22,7:13,17.4
19:50,8:17,18.4
