月の出,月の入,月齢
20:30,10:44,20.0
21:29,11:53,21.0
22:36,12:54,22.0
23:47,13:47,23.0
--:--,14:30,24.0
0:58,15:07,25.0
2:07,15:38,26.0
3:13,16:06,27.0
4:18,16:33,28.0
5:21,16:59,29.0
6:24,17:27,0.5
7:27,17:58,1.5
8:29,18:32,2.5
9:31,19:12,3.5
10:29,19:57,4.5
11:24,20:48,5.5
12:12,21:43,6.5
12:55,22:42,7.5
13:31,23:42,8.5
14:03,--:--,9.5
14:32,0:42,10.5
14:59,1:43,11.5
15:25,2:44,12.5
15:52,3:47,13.5
16:21,4:52,14.5
16:55,6:01,15.5
17:35,7:13,16.5
18:23,8:28,17.5
19:21,9:40,18.5
20:27,10:46,19.5
21:38,11:43,20.5
