月の出,月の入,月齢
20:29,10:42,20.0
21:28,11:51,21.0
22:35,12:53,22.0
23:45,13:45,23.0
--:--,14:29,24.0
0:56,15:05,25.0
2:05,15:36,26.0
3:12,16:05,27.0
4:16,16:31,28.0
5:20,16:58,29.0
6:22,17:26,0.5
7:25,17:57,1.5
8:28,18:31,2.5
9:29,19:11,3.5
10:28,19:56,4.5
11:22,20:47,5.5
12:11,21:42,6.5
12:53,22:40,7.5
13:30,23:40,8.5
14:02,--:--,9.5
14:31,0:41,10.5
14:57,1:41,11.5
15:24,2:43,12.5
15:51,3:46,13.5
16:20,4:51,14.5
16:54,6:00,15.5
17:33,7:12,16.5
18:22,8:26,17.5
19:19,9:39,18.5
20:26,10:45,19.5
21:37,11:42,20.5
