月の出,月の入,月齢
20:05,10:32,20.0
21:04,11:41,21.0
22:11,12:42,22.0
23:23,13:34,23.0
--:--,14:17,24.0
0:35,14:52,25.0
1:46,15:22,26.0
2:54,15:49,27.0
3:59,16:14,28.0
5:04,16:40,29.0
6:08,17:06,0.5
7:12,17:36,1.5
8:16,18:09,2.5
9:18,18:48,3.5
10:18,19:32,4.5
11:12,20:23,5.5
12:01,21:19,6.5
12:42,22:18,7.5
13:18,23:19,8.5
13:49,--:--,9.5
14:17,0:20,10.5
14:42,1:22,11.5
15:07,2:25,12.5
15:33,3:29,13.5
16:01,4:36,14.5
16:33,5:46,15.5
17:12,7:00,16.5
17:59,8:15,17.5
18:56,9:28,18.5
20:02,10:35,19.5
21:14,11:31,20.5
