月の出,月の入,月齢
--:--,12:27,21.8
0:22,12:56,22.8
1:23,13:24,23.8
2:22,13:52,24.8
3:21,14:22,25.8
4:21,14:55,26.8
5:20,15:32,27.8
6:19,16:14,28.8
7:16,17:02,0.1
8:08,17:54,1.1
8:55,18:50,2.1
9:36,19:47,3.1
10:12,20:44,4.1
10:44,21:41,5.1
11:12,22:38,6.1
11:40,23:34,7.1
12:06,--:--,8.1
12:34,0:32,9.1
13:04,1:32,10.1
13:38,2:37,11.1
14:20,3:45,12.1
15:10,4:57,13.1
16:11,6:10,14.1
17:21,7:18,15.1
18:37,8:18,16.1
19:52,9:09,17.1
21:03,9:50,18.1
22:10,10:25,19.1
23:14,10:57,20.1
--:--,11:26,21.1
0:15,11:54,22.1
