月の出,月の入,月齢
20:26,5:11,16.0
20:59,6:12,17.0
21:28,7:14,18.0
21:54,8:16,19.0
22:18,9:17,20.0
22:42,10:19,21.0
23:07,11:22,22.0
23:36,12:28,23.0
--:--,13:38,24.0
0:09,14:51,25.0
0:50,16:07,26.0
1:41,17:20,27.0
2:43,18:24,28.0
3:56,19:19,29.0
5:14,20:02,0.7
6:30,20:37,1.7
7:43,21:07,2.7
8:52,21:33,3.7
9:58,21:58,4.7
11:01,22:23,5.7
12:03,22:49,6.7
13:05,23:18,7.7
14:06,23:51,8.7
15:06,--:--,9.7
16:04,0:30,10.7
16:58,1:15,11.7
17:45,2:06,12.7
18:26,3:03,13.7
19:01,4:04,14.7
19:31,5:07,15.7
19:58,6:09,16.7
